Id	Sub Nm	Rel Nm	Obj Nm	Annotation
400110	ananas i	sloc	patate i.2	1
339606	lentilles i.1	métonymie	pâtes i.2	1
186000	public n 2	syn	auditrice	1
52985	encombrer i	a1	gonflant	0
149871	engloutir i	métaphore	porcherie ii	-1
508669	décote ii	syn	bousculer i.2	-1
135912	commère	syn	pipelette	1
369799	repérer ii	able2	ostensible	0
332190	maître-chanteur	syn	auteur i	-1
510600	redresser ii	s0	résonance i	-1
342862	secrétariat ii	s1	élue	-1
220417	treize i.1b	adv1	expéditivement	-1
238326	surplus 1	syn	se la péter	-1
210222	pare-chocs i	métaphore	abondant ii	-1
260141	inerte 2	anti	réactif adj i.1c	1
507901	prudent	s0	philosophie i	-1
315343	cousu main adj i	métaphore	partir 1 iv.3	-1
43516	origine i.1	adv0	nuitamment	-1
257480	bazar i	syn	faux n, masc ii	-1
438796	pois 1	métonymie	tabaculture	-1
18445	capsule i	syn	séparément	-1
419429	cérumen	syn	monde iii.2	-1
532568	nostalgique n, fém	syn	ici i.b	-1
47821	mois b	a0	trimestriel a	1
457838	gymnique	s0	volley-ball 1	-1
226499	volleyeur	syn	set	-1
425329	barrer ii	a2	impraticable	-1
353306	thym 1	métonymie	laurier i.2	1
46295	danser	syn	chaise haute	-1
257042	moyen métrage	syn	fiction ii	0
199029	ampoule i.2	epit	petit adj iv	-1
409449	subdiviser	syn	masquer	-1
251288	félins n	a0	capitaine n, masc 1	-1
471848	opposer	able3	rempailler	-1
523258	raccompagner	s0	courant adj 2 2	-1
266892	chouquette	gener	fleur i.2	-1
338750	gravitation	syn	glacé i.2a	-1
428495	compagne de route	syn	acide adj 1	-1
477857	transformation ii.1	v0	devenir 1	0
435788	compatriote n, fém	syn	concitoyen	1
319514	geler i.2a	causation	geler ii.b	0
238428	mesurer 2	syn	bon adj i.1b	-1
53118	surgir	s0	hoquet	-1
411230	les jambes mortes	oper1	faire ii.1	-1
280342	cochonne	syn	se débrouiller	-1
460384	hirondelle	gener	fleur i.2	-1
530311	calomniateur	syn	anonymographe	-1
51855	écarter iii.3	anti	écarter ii.2	0
117123	motocycliste n, masc	syn	motard	1
51903	triple adj	syn	corail 1 i	-1
90251	volley-ball 1	sing	basket n, masc 2	1
116159	commodités ii.1	gener	parcours du combattant i.1	-1
75936	dent dure	oper1	éprouver	-1
427416	cor 1	oper1	emboucher	-1
210017	panse i.2	syn	ventre i.2	1
81728	flocon i.1	s1	couleur iv.2	-1
394440	trouver i.1	extension	retrouver ii	1
306487	huit cents 1a	métonymie	cinquante 2	0
126644	immobiliser	syn	pas adv a	-1
440964	pourfendre ii	syn	fendu	1
402337	florissant	syn	gros adj iii.2	-1
217542	fratrie	s1	allemagne	-1
437485	faux-cul n, masc	syn	une vache n’y retrouverait pas son veau.	-1
439982	bilan logico-mathématique	gener	orthophonie	-1
518848	gallois adj 3	s0	breton n ii	0
451495	taxé	syn	contestataire adj 1	-1
58830	fret i	syn	voyageur n	1
371416	coup du père françois ii	syn	coup v.2c	1
351612	festivalière	syn	instructrice	-1
114171	receler	syn	renfermer	1
454730	numéro ii.2	oper1	avoir v ii	-1
429032	coupant i	métaphore	aigre ii	1
452057	mécanique adj i	adv0	potentiellement	-1
453566	oubliettes i	s1	bastion ii	-1
409598	exagérer ii	syn	s’allonger 1 i.3	-1
67374	tête dure 1	a1	influent	-1
34218	taper du poing sur la table	syn	chope a	-1
412851	démocratie ii	syn	démocrate n, fém	1
253809	gaillet	syn	alysse	1
106102	bilan i.3	epit	médecine	1
156289	réparer i	s1	mécanicien n ii.1	1
519643	dénoncer ii	s0	imitation	-1
323158	mauve b	syn	rose 1 b	1
368905	camp	syn	camper 1 ii	1
493690	cochon n iii	syn	stérile iii	-1
332926	renardeau	syn	orpheline b	-1
101822	douze i.1b	syn	millier 1	0
194058	antennes i	real1	développer i.2	-1
136812	nerveux i.2	métonymie	angoissé adj 2	1
215769	souriant	syn	caillou i	-1
380695	renoncule	syn	caille-lait	1
457493	prodige ii	syn	chaudière	-1
441342	acquit	v0	obtenir ii.1	1
330618	calmer i	métaphore	dissiper i	1
295571	marche 1 v.2	real1	se hisser	1
434177	cricoïde	s1	conseillère municipale	-1
411836	panoplie i.1	epit	deuxième adj	-1
101788	douzaine	syn	mille num 1b	0
405155	rameur	syn	catastrophe i	-1
190997	teinture iii.2	syn	couleur ii.2b	1
343937	débrouillardise	s1	héritier	-1
165472	frôlement	v0	clapoter	-1
373406	croyable	anti	maximum n	-1
448517	date ii	bon	nombril iii.1	-1
215653	soupçonner	s2	café i	-1
376073	bouffer du lion	syn	habitude 1	-1
292627	levée iii	syn	former iv	-1
219919	télécharger	syn	transférer iii	1
147472	conclure i	métaphore	sortir i.2	1
50035	lavomatique ii.1	syn	lavoir	1
427550	interrupteur	syn	gorille n, masc	-1
449764	marche 2 i	loc	dans i.2	-1
372791	à l’encre rouge	syn	force i	-1
199444	pessimisme	oper1	tirer iii.1a	-1
454786	endetté	syn	quoi de neuf ?	-1
455450	trente-trois 1a	métonymie	pince-fesses ii	-1
485288	autoritairement	a0	cycliste adj	-1
187620	ici et là	syn	drapeau	-1
440240	pelé adj ii	syn	détérioré	1
294623	susceptible i	s0	rage ii	1
