Id	Sub Nm	Rel Nm	Obj Nm	Annotation
319514	geler i.2a	causation	geler ii.b	0
238428	mesurer 2	syn	bon adj i.1b	-1
53118	surgir	s0	hoquet	-1
411230	les jambes mortes	oper1	faire ii.1	-1
280342	cochonne	syn	se débrouiller	-1
460384	hirondelle	gener	fleur i.2	-1
530311	calomniateur	syn	anonymographe	1
51855	écarter iii.3	anti	écarter ii.2	0
117123	motocycliste n, masc	syn	motard	1
51903	triple adj	syn	corail 1 i	-1
90251	volley-ball 1	sing	basket n, masc 2	1
116159	commodités ii.1	gener	parcours du combattant i.1	-1
75936	dent dure	oper1	éprouver	-1
427416	cor 1	oper1	emboucher	-1
210017	panse i.2	syn	ventre i.2	1
81728	flocon i.1	s1	couleur iv.2	-1
394440	trouver i.1	extension	retrouver ii	1
306487	huit cents 1a	métonymie	cinquante 2	0
126644	immobiliser	syn	pas adv a	-1
440964	pourfendre ii	syn	fendu	1
402337	florissant	syn	gros adj iii.2	-1
217542	fratrie	s1	allemagne	-1
437485	faux-cul n, masc	syn	une vache n’y retrouverait pas son veau.	-1
439982	bilan logico-mathématique	gener	orthophonie	1
518848	gallois adj 3	s0	breton n ii	1
451495	taxé	syn	contestataire adj 1	-1
58830	fret i	syn	voyageur n	1
371416	coup du père françois ii	syn	coup v.2c	1
351612	festivalière	syn	instructrice	-1
114171	receler	syn	renfermer	-1
454730	numéro ii.2	oper1	avoir v ii	-1
429032	coupant i	métaphore	aigre ii	-1
452057	mécanique adj i	adv0	potentiellement	-1
453566	oubliettes i	s1	bastion ii	-1
409598	exagérer ii	syn	s’allonger 1 i.3	-1
67374	tête dure 1	a1	influent	-1
34218	taper du poing sur la table	syn	chope a	-1
412851	démocratie ii	syn	démocrate n, fém	1
253809	gaillet	syn	alysse	1
106102	bilan i.3	epit	médecine	1
148096	mise en scène i.2	s2	bœuf 1 i.1a	1
459239	ronronner i	métaphore	gros dos iii	1
119653	accuser i.1	s1	conseiller municipal	-1
494222	lavandière	syn	laveuse c	1
356901	pigeon ii	syn	étui	-1
7472	conjecturer	syn	front iii.2	-1
209255	pervers	syn	cochon n ii	1
445211	épuisement ii	a1	inépuisable	1
528681	legs i	métaphore	patrimoine 2	1
332549	foyer iv.1	s1	arbitre n, masc	-1
437722	médecin-expert n, masc	syn	sociologue n, fém	-1
332171	éplucheuse i	métonymie	clafoutis	-1
156400	prisonnier adj i.1	métaphore	esclave adj i	1
103053	au bec	syn	bouffée i.1	1
459892	crâne adj 1	extension	grande gueule	-1
416869	plumes i	s1	fleur i.2	-1
333211	taper sur le cigare	syn	rondeurs ii.1	-1
331602	pétanque	gener	fleur i.2	-1
371176	buveuse 2	syn	bêtement 1a	-1
125916	quarante-cinq 1a	métonymie	vingt 2	0
214040	réaction ii.2a	métaphore	tombée ii.b	-1
437219	gelée	syn	décompte	-1
395997	capitaine n, masc 1	syn	s’engager iii.2a	-1
511439	s’exercer	a1	contorsion ii	-1
428273	suspect adj	syn	méfiant	1
170076	filleule	s2	se montrer i	-1
89562	gouffre ii.2	syn	abîme ii.1	1
410310	kidnappeur	syn	ravisseuse i	1
341938	demande i	syn	supposé	-1
113140	impraticable	anti	ouvert ii.1	1
420009	tentateur adj	s1	escroc ii	1
88622	traîner i	métaphore	tenir le coup	-1
167542	allumer ii.1	extension	aspirateur n i.3	-1
393937	universitaire n, fém 2	syn	empiéter ii	-1
17818	analogie a	func0	retrouver ii	-1
108141	divaguer i	syn	rôder	1
100660	rigoureux i.1	métonymie	ancêtres ii	-1
311673	spécialisation	v0	commander ii	-1
391241	réagir i.1b	a1	réactif adj i.1c	1
112818	fusillade	s1	ball-trappeur	1
437187	manquer vii	s0	se languir	-1
163207	soixante-dizaine	syn	cinquante 1b	0
385107	incliné	syn	dépréciation i	-1
232854	nettoyer i.5	a2	nettoyé i.2	1
416896	se placer i	métaphore	talon i.2	-1
96323	agoraphobe n, fém	gener	nombre i.2	-1
446593	et [x] de [y]	syn	comme un château de cartes	0
293455	s’inquiéter	conv-ij	désespérer 3	-1
458626	pion 1	s1	cadavre exquis	-1
457580	avorter	s0	s’éloigner ii	-1
171096	emprunté	s3	bus	-1
331618	coccinelle i	syn	blatte	1
375541	mère 1 iv.1a	magn	de toujours	1
87697	treize i.1a	métonymie	quinze ii	0
79188	tambour iii	a1	muni i	-1
457295	soigneux	syn	soigné iii	1
406997	quatre cents 1a	métonymie	mille cinq cents 2	0
491115	réchauffer	s0	ébullition	1
431080	réactivité i.1a	métaphore	occidental n	-1
192263	automobiliste n, fém	syn	usager	1
231645	bouffer 1 iv.4a	extension	en face 2	-1
456946	autorité des marchés financiers	syn	bras cassé	-1
498180	fanatique n, fém	syn	chiffre ii.3	-1
386181	mention ii	syn	fond vi.1	-1
337363	père de famille	contr	de long	-1
224540	résolu 2	syn	prémonition	-1
321619	effroyable	syn	assourdissant	-1
129166	sensible ii.2	s0	sensibilité iii	1
446847	soixante-huitard adj	s0	goût ii.1	-1
529211	frissonner ii.2	s0	frisson ii.1	1
371868	manger v vi.2b	syn	bouffer 1 v.2	1
172822	coûter i	s2	droits de mutation	-1
282527	couvercle 1	syn	s’équiper	-1
528167	carotte a	métonymie	chou n 1 i.2	1
224254	faire son quatre-heures ii	syn	détruire ii	-1
524713	location 1b	real1	enlever i.1	-1
252157	nationaliser	s0	irlandais	-1
445002	imitation	v0	dénoncer ii	-1
220794	erreur 2	a2	déformé ii	-1
520786	fleurir iv.1	syn	agrémenter	1
