Id	Sub Nm	Rel Nm	Obj Nm	Annotation
99997	autour	r_lieu	mer>218698	-1
551255	continu	r_anto	différent	1
1169624	fredaine	r_sentiment	agacement	-1
644530	gourde	r_has_part	sexe>218086	-1
803069	débauché	r_syn	instable	1
1386107	broche	r_lieu	penderie	-1
879504	agnathe	r_meaning/glose	botanique	-1
473920	Irma	r_has_part	squelette>112609	-1
68762	mastiff	r_domain	ornithologie	-1
1388936	mise	r_lemma	débiter	-1
1540763	bouteille>89628	r_lieu_action	renverser	1
754944	luminescence	r_isa	presse	-1
1003449	cameraman	r_has_part	système nerveux	-1
1527570	café>113547	r_time	midi	1
553068	lèvres	r_color	blanc>40056	-1
14368	couvert	r_isa	oeuvre de fiction	-1
707359	cliché	r_meaning/glose	médecine	1
173618	échauder	r_manner	délicatement	-1
415984	abréger	r_sentiment	embarras	-1
450698	excommunier	r_domain	cuisine	-1
1425506	castor	r_syn	paille	-1
1589769	Seven	r_isa	personnage de religion	-1
701076	bref	r_syn	gaillard	-1
1460076	ouverte	r_locution	trou à rat	-1
1478067	frégate>119825>136307	r_lieu	nuage	-1
1013725	bousculer	r_sentiment	difficile	-1
459200	décider	r_agent	tout le monde	-1
1153565	bénévole	r_has_part	bouche>112609	-1
1479087	véhicule à moteur	r_associated	exact	-1
904845	Toscane	r_lieu	France>22243	1
1028390	courber	r_associated	squelette	-1
399342	fuel	r_isa	élément chimique	-1
206735	magnésium	r_color	rose>40056	-1
141037	conseil	r_isa	lieu>134218	1
1109419	prostration	r_domain	zoologie	-1
1653096	Colibri	r_carac	nocturne	-1
295080	névraxe	r_lieu-1	hygroma	-1
1666177	consommation	r_meaning/glose	avoir	1
1471356	top model	r_associated	bouche>112609	1
1268536	curcuma	r_color	coloré	1
869660	hiérarchie	r_associated	commun	-1
1023643	tamiser	r_domain	beaux-arts	-1
1316167	huile d'olive	r_domain	zoologie	-1
414546	ride	r_meaning/glose	géologie	1
188493	mascarade	r_syn	plat	-1
598636	envoyé	r_syn	ficelle	-1
529747	bicyclette	r_color	rouge>40056	-1
1671384	éthanol	r_domain	physiologie	-1
1625442	uvb	r_domain	maladies	1
660706	sous	r_meaning/glose	clef	-1
1421645	salut	r_manner	facilement	-1
1155230	publication	r_hypo	sodomie	-1
1312332	Creuse	r_lieu-1	centrale nucléaire	-1
349978	inciser	r_domain	vétérinaire	1
855223	Lara	r_has_part	sexe>218086	1
551478	colon	r_has_instance	Seine	-1
868552	musarder	r_sentiment	agacement	-1
1534404	lettre de l'alphabet	r_has_instance	Henry	-1
1103411	Gottfried Wilhelm Leibniz	r_isa	oeuvre	-1
926654	abcès	r_color	vert>40056	-1
1151997	sauver	r_syn	fournir	-1
454097	moussaka	r_sentiment	admiration	-1
964968	ratte	r_isa	préparation culinaire	1
486574	sac à main	r_object>mater	tissu>94609	1
1131474	Friedrich Dürrenmatt	r_isa	nom de famille	1
858643	France	r_lieu_action	se masturber	-1
1711887	rêveur	r_agent-1	mourir>126720	-1
1670870	brider	r_domain	cuisine>143757	1
1168883	mystifier	r_syn	tirer	-1
1662971	parasites	r_domain	entomologie	1
180761	porte-monnaie	r_isa	lieu>134218	-1
1188261	péquenaud	r_has_part	seins	-1
1135499	moralité	r_syn	carotte	-1
1380588	couture	r_carac	grosse	-1
1526949	requin>68467	r_domain	cuisine>143757	1
1077873	formaliste	r_sentiment	honte	-1
773101	discontinuité	r_associated	séisme	1
111035	filière	r_sentiment	tendresse	-1
545916	congeler	r_manner	bien	-1
1224310	permanent	r_has_part	squelette>112609	1
1667782	flic	r_carac	bon	-1
1066639	satisfait	r_has_part	sexe>218086	-1
326498	pointilleux	r_carac-1	chef	1
373413	craquer	r_manner	doucement	-1
1023651	tamiser	r_domain	géographie	-1
405203	se garer	r_manner	gentiment	-1
483345	boa	r_color	blanc>40056	-1
64839	railler	r_verbe-action	attaque	-1
38183	vertige	r_has_part	bouche>112609	-1
1240170	camouflet	r_associated	transport	-1
108446	Louhans	r_lieu	Nord-Pas-de-Calais	-1
812048	inassouvi	r_associated	anorexie	1
465446	se préparer	r_associated	corriger	-1
242499	se couvrir	r_sentiment	peur	1
789680	oisif	r_isa	métier	1
1291586	épanoui	r_sentiment	espoir	-1
15807	bouclier	r_has_part	fil	-1
312976	doigts	r_carac	dur	-1
514657	prompt	r_syn	querelleur	-1
1321410	basset	r_has_part	dent>45311	1
1299666	pauvreté	r_lemma	nom	-1
303945	intensité	r_associated	médecine	-1
322127	superficiel	r_syn	hâblerie	1
151124	tapette	r_domain	sports	-1
876856	génocide	r_associated	viande	-1
976907	élévation	r_syn	divinité	1
1440014	skateboard	r_domain	technique	1
856683	frison	r_domain	chiens	1
400507	pipistrelle	r_associated	mariage	-1
1684879	Maria Magdalena von Losch	r_color	noir>40056	-1
226339	claque	r_associated	voix	-1
1717094	cylindre	r_isa	individu	-1
1126257	chanterelle	r_sentiment	admiration	-1
708550	pétunia	r_has_part	squelette>112609	-1
1430869	majeur	r_sentiment	curiosité	-1
746055	desservir	r_syn	tenir	-1
278767	amarante	r_syn	anneau	-1
1485975	morceau de viande	r_patient-1	laver	-1
1298969	répression	r_carac	petite	-1
185715	atrabilaire	r_has_part	sexe>218086	-1
